Restaurant Name,Inspection Date,Score,Address,Zip Code,Latitude,Longitude,Facility ID,Process Description
The Coffee Bean & Tea Leaf,23-12-13,96,"13376 N US 183 HWY SB, AUSTIN, TX 78750",78750,30.445175,-97.788825,10531031,Routine Inspection
Starbucks Coffee #6470,02-11-15,100,"1001 CONGRESS AVE, AUSTIN, TX 78701",78701,30.271775,-97.741424,2801981,Routine Inspection
Subway,16-01-14,97,"5800 W SLAUGHTER LN, AUSTIN, TX 78749",78749,30.200438,-97.876151,2803118,Routine Inspection
Stepping Stone School,25-02-15,97,"8121 SHOAL CREEK BLVD, AUSTIN, TX 78757",78757,30.365588,-97.738944,2801163,Routine Inspection
Subway,22-11-13,93,"7301 N FM 620 RD, AUSTIN, TX 78726",78726,30.40541,-97.853164,2801667,Routine Inspection
Subway,16-05-14,93,"8023 MESA DR, AUSTIN, TX 78731",78731,30.370848,-97.75758,2801212,Routine Inspection
St. Elmo Elementary,15-05-14,100,"600 W ST ELMO RD, AUSTIN, TX 78745",78745,30.221235,-97.77332,2800265,Routine Inspection
Starstop 34,20-02-14,87,"4545 S LAMAR BLVD NB, AUSTIN, TX 78745",78745,30.231936,-97.800864,10851843,Routine Inspection
Stop 71,03-10-16,86,"8314 W SH 71, AUSTIN, TX 78735",78735,30.247251,-97.888794,2803909,Routine Inspection
Split Level,09-10-15,78,"300 E 6TH ST, AUSTIN, TX 78701",78701,30.267328,-97.74022,10939459,Routine Inspection
Springhill Restaurant,18-02-16,76,"2505 W PECAN ST, AUSTIN, TX 78660",78660,30.447602,-97.653521,2800673,Routine Inspection
Starbuck's Coffee  #6328,22-05-14,97,"4400 N LAMAR BLVD, AUSTIN, TX 78756",78756,30.31273,-97.738096,2801294,Routine Inspection
Steak n Shake,29-04-15,83,"9300 S IH 35 SVRD SB Bldg E, AUSTIN, TX 78748",78748,30.164828,-97.787933,11120083,Routine Inspection
Subway,26-01-16,93,"1801 E 51ST ST, AUSTIN, TX 78723",78723,30.302589,-97.697714,11065699,Routine Inspection
Stompin' Grounds,27-01-15,90,"3801 S CONGRESS AVE, AUSTIN, TX 78704",78704,30.226152,-97.762155,10237485,Routine Inspection
Starbucks Coffee #15747,21-06-16,100,"11521 N FM 620 RD Bunit 950, AUSTIN, TX 78726",78726,30.45313,-97.8277,10657955,Routine Inspection
Springhill Restaurant,25-03-14,75,"2505 W PECAN ST, AUSTIN, TX 78660",78660,30.447602,-97.653521,2800673,Routine Inspection
Subway,13-11-14,94,"8023 MESA DR, AUSTIN, TX 78731",78731,30.370848,-97.75758,2801212,Routine Inspection
Stepping Stone School,18-02-14,93,"9405 BRODIE LN, AUSTIN, TX 78748",78748,30.190398,-97.845372,2802293,Routine Inspection
Stubb's,20-05-14,72,"801 RED RIVER ST, AUSTIN, TX 78701",78701,30.268687,-97.736382,2800835,Routine Inspection
Starbuck's Coffee  #6328,21-11-13,100,"4400 N LAMAR BLVD, AUSTIN, TX 78756",78756,30.31273,-97.738096,2801294,Routine Inspection
Starbuck's Coffee #6341,31-03-16,100,"3317 NORTHLAND DR, AUSTIN, TX 78731",78731,30.337172,-97.756803,2801363,Routine Inspection
Starstop 34,03-02-16,98,"4545 S LAMAR BLVD NB, AUSTIN, TX 78745",78745,30.231936,-97.800864,10851843,Routine Inspection
St Andrews Episcopal School,11-04-14,97,"1112 W 31ST ST, AUSTIN, TX 78705",78705,30.301644,-97.748453,2801346,Routine Inspection
Subway,05-06-15,84,"10700 ANDERSON MILL RD Unit 210, AUSTIN, TX 78750",78750,30.446998,-97.811418,11039317,Routine Inspection
Stinson's Bistro,09-10-14,83,"4416 BURNET RD, AUSTIN, TX 78756",78756,30.315161,-97.741716,11078892,Routine Inspection
Starbucks Coffee #11556,17-03-14,100,"2505 W PARMER LN, AUSTIN, TX 78758",78758,30.419293,-97.702745,10061972,Routine Inspection
Starbucks Coffee #15747,02-10-15,92,"11521 N FM 620 RD Bunit 950, AUSTIN, TX 78726",78726,30.45313,-97.8277,10657955,Routine Inspection
St David's Medical Center Cafe,04-10-15,90,"919 E 32ND ST, AUSTIN, TX 78705",78705,30.290095,-97.725128,2801177,Routine Inspection
StarStop 36,26-06-15,100,"7510 N MOPAC EXPY SB, AUSTIN, TX 78731",78731,30.358692,-97.746192,10880409,Routine Inspection
Subway,08-10-16,90,"6001 W PARMER LN Unit 240, AUSTIN, TX 78727",78727,30.442054,-97.74155,10887185,Routine Inspection
Steiner Ranch Steakhouse,20-08-15,100,"5424 STEINER RANCH BLVD, AUSTIN, TX 78732",78732,30.390265,-97.87065,10211161,Routine Inspection
Sprouts Farmers Market,20-01-15,84,"10225 RESEARCH BLVD NB Bunit 1000, AUSTIN, TX 78759",78759,30.394877,-97.745915,10297855,Routine Inspection
Starstop 37,20-09-16,90,"8224 BURNET RD, AUSTIN, TX 78757",78757,30.362557,-97.729156,10880392,Routine Inspection
Stonebriar Nursing and Rehab,09-09-15,90,"110 E LIVE OAK ST, AUSTIN, TX 78704",78704,30.241778,-97.752028,10964218,Routine Inspection
St. Louis Catholic Church,03-10-14,100,"7601 BURNET RD, AUSTIN, TX 78757",78757,30.353145,-97.732654,2801864,Routine Inspection
Subway,30-09-15,87,"9300 S IH 35 SVRD SB, AUSTIN, TX 78748",78748,30.164828,-97.787933,2802744,Routine Inspection
Subway,04-01-14,86,"2906 DUVAL ST, AUSTIN, TX 78705",78705,30.291587,-97.734351,10211742,Routine Inspection
Starbucks Coffee #6227,15-04-15,97,"2727 EXPOSITION BLVD Unit 126, AUSTIN, TX 78703",78703,30.304566,-97.76469,2801131,Routine Inspection
St. Roch's Bar,10-04-16,91,"515 PEDERNALES ST, AUSTIN, TX 78702",78702,30.258568,-97.714835,10425855,Routine Inspection
Subway,10-01-14,84,"900 E BRAKER LN, AUSTIN, TX 78753",78753,30.376102,-97.673724,10384742,Routine Inspection
