Pinterest Board,Pinboard URL,Image URL,Description,Pin Note,Original Link,Pinterest URL,Name,Week,Date Pinned
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/e9/08/f3/e908f3b2a0da0d0348a6b1a38c178149.jpg,“Week 9 of #MakeoverMonday done. https://t.co/2QaWwjSwqo”,Week 9 - Charlie H,https://twitter.com/charliehtableau/status/746047865076748288,https://www.pinterest.com/pin/468937379932443123/,Charlie H,9,24-06-16 05:39
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/72/3d/d1/723dd1c17ce5734db012b8e2ea57cd6e.jpg,"“#MakeoverMonday ""Theft in Japan"" @VizWizBI @acotgreave https://t.co/9dSN8r25DO”",Week 25 - David Pires,https://twitter.com/davidmpires/status/745372470450982912,https://www.pinterest.com/pin/468937379932411338/,David Pires,25,21-06-16 22:50
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/2f/4c/35/2f4c350cd2911dc6fd3aa1a665d7f32e.jpg,“Finally got to #MakeoverMonday this week. Another boxed coloured in on the @VizWizBI highlight chart! @acotgreave”,Week 25 - Graeme Wiggins,https://twitter.com/graeme_wiggins/status/745318873700925440,https://www.pinterest.com/pin/468937379932408898/,Graeme Wiggins,25,21-06-16 19:16
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/ae/4c/49/ae4c49258b673265115ff1cd937e8e87.jpg,“@VizWizBI A little late to #makeovermonday this week since I was celebrating a big @cavs win https://t.co/9kUUXxzaO7”,Week 25 - Nick Hura,https://twitter.com/nickhura/status/745299135486627840,https://www.pinterest.com/pin/468937379932408878/,Nick Hura,25,21-06-16 19:15
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/8f/54/ef/8f54efd5ccdd93112f79d13c089360fb.jpg,“My first #MakeoverMonday attempt #virgin https://t.co/MCxvowN17z”,Week 25 - Lloyd Buss,https://twitter.com/ldjb1981/status/745284528990785536,https://www.pinterest.com/pin/468937379932407073/,Lloyd Buss,25,21-06-16 16:50
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/38/cc/66/38cc66332217b90adb27a3331a7c0cfc.jpg,“#MakeoverMonday for Theft in Japan @VizWizBI @acotgreave @tableau https://t.co/7MgB8lN0EK”,Week 25 - Rohan Malusare,https://twitter.com/rohan_malusare/status/745288096711860224,https://www.pinterest.com/pin/468937379932407068/,Rohan Malusare,25,21-06-16 16:49
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/d2/d9/7d/d2d97d4f1104a549cb673ca123fac98c.jpg,“Number 10 ticked off. #MakeoverMonday Quite like this one in terms of (relative) insight https://t.co/y8hjgfllgD”,Week 10 - Charlie H,https://twitter.com/charliehtableau/status/746060116399652866,https://www.pinterest.com/pin/468937379932443117/,Charlie H,10,24-06-16 05:38
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/18/62/ef/1862ef000d45dcc9c4218ef0cefae240.jpg,"“My #MakeoverMonday on ""Theft in Japan"" @VizWizBI @acotgreave https://t.co/8azTuS0hqe”",Week 25 - Divya Bharathi,https://twitter.com/mdivya516/status/746096955063861248,https://www.pinterest.com/pin/468937379932438148/,Divya Bharathi,25,23-06-16 22:08
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/0b/d8/19/0bd819ddbd6dfce091321cbf26be9154.jpg,“And we have a late #MakeoverMonday here ! @VizWizBI @acotgreave https://t.co/1SvQeIILy4”,Week 25 - Jérémy Coste,https://twitter.com/jeremylytics/status/746007423979261953,https://www.pinterest.com/pin/468937379932434167/,Jérémy Coste,25,23-06-16 16:07
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/71/55/8f/71558f0de621830e1cf3e053d38f4ff4.jpg,“a late upload #MakeoverMonday”,Week 20 - Jie Zhang,https://twitter.com/stzhangjie/status/745895599044706304,https://www.pinterest.com/pin/468937379932431559/,Jie Zhang,20,23-06-16 10:19
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/0d/35/49/0d354919b93cc1f392dfd0ba06d4cda6.jpg,“Gave #MakeoverMonday week 6 a go. Tough topic and big dataset. https://t.co/48ZMGvWwzG”,Week 6 - Charlie H,https://twitter.com/charliehtableau/status/745727996661751812,https://www.pinterest.com/pin/468937379932430776/,Charlie H,6,23-06-16 07:51
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/5d/26/10/5d2610277e480a78e4de0917e4e82efd.jpg,“#MakeoverMonday Week 25”,Week 25 - Kai Smith,https://twitter.com/kaikaismith/status/745745671102291968,https://www.pinterest.com/pin/468937379932430771/,Kai Smith,25,23-06-16 07:51
