Country,Item,Metric,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Peru,Peaches and nectarines,Production (tonnes),28000,28000,29000,35000,20000,31009,31085,29747,31724,32710,29343,28577,28528,29964,30720,30151,27086,25566,25372,24980,26180,28453,27727,28131,29132,40149,41093,40301,37444,39958,36144,34499,33157,35285,38010,43965,41962,18453,35465,36728,36076,40383,37489,35887,35802,32797,36879,43339,45497,44052,45526,47416
Poland,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1800,4300,2600,12462,14339,9590,5520,3614,12096,12536,9317,8695,9079
Portugal,Peaches and nectarines,Production (tonnes),40458,21600,30900,15000,36300,35000,38000,27300,28650,35470,42800,56060,50857,52592,62898,79251,32600,35701,30554,33012,30000,33000,38280,26413,28800,65579,77471,73060,90123,85116,95131,108148,92240,91648,89731,75884,94919,66034,88947,63596,26759,60104,56927,52041,52041,50075,43641,38528,40040,33000,34520,35500
Republic of Korea,Peaches and nectarines,Production (tonnes),19722,19644,19244,34822,54345,63088,70663,71538,68341,78098,66039,79718,84320,88578,60964,85865,84016,90705,92425,88692,88740,90870,99199,98174,131544,138654,137774,134613,133009,114578,121654,115792,123482,114837,129640,127540,146793,151313,157177,170044,166275,187542,189413,200534,223701,193816,184497,189064,198317,138580,185078,172599
Republic of Moldova,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,67500,72000,65919,20100,12450,23540,5100,14580,12215,10497,15685,13498,16887,8514,6963,9093,10035,14539,15398,8179
Réunion,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,5,10,10,10,10,13,15,18,20,20,70,100,150,200,250,328,357,470,657,945,931,504,504,504,500,453,413,441,484,539,505,537,506,551,558,617,617,625,614,614
Romania,Peaches and nectarines,Production (tonnes),7700,9200,5700,10000,18000,18800,19700,23700,27000,28600,27800,38500,44000,62000,64700,65114,52795,73209,40321,55300,83011,69847,85404,66649,62800,83900,48000,57500,81000,52900,43600,37300,49700,20900,13402,25894,17140,17881,16100,18347,16700,13000,18000,19629,29797,17408,16980,16432,17132,11241,22494,17428
Russian Federation,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27800,28600,20370,23000,30000,26000,16000,18000,29000,32000,45000,40000,42000,38000,20000,42800,31000,32000,28000,32000,30000
Serbia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59127,65624,62666,77230,68636,75233,53894
Serbia and Montenegro,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52002,45389,41262,41799,58394,46324,51221,44407,41635,44818,45608,59164,61862,55511,,,,,,,
Slovakia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4121,5346,5986,7806,6032,8503,4911,5327,2113,2591,4207,4753,3608,4415,2389,4192,3209,1904,1750,2012
Slovenia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7583,8080,7808,9073,12172,3997,4983,13362,12181,5432,10539,6048,14418,13337,11158,9252,6780,9950,7962,8603,6203
South Africa,Peaches and nectarines,Production (tonnes),89398,77009,104785,116881,136913,130597,133828,136543,148209,136398,155986,158892,153318,166655,164500,176561,175237,152561,164184,211027,165871,169566,163854,168545,136324,147132,169356,154962,170747,145332,157100,169792,169314,151530,184737,182801,240566,214040,231549,223064,173868,189647,249290,183652,172631,166955,170005,182784,159444,164231,156819,175665
Spain,Peaches and nectarines,Production (tonnes),118000,105800,130500,153200,169500,138600,136400,209300,190800,228600,279200,331100,373400,417600,284300,459000,212200,429800,408300,386800,445800,479100,490700,508800,547568,549200,604000,649400,765900,629300,727900,1023700,856900,870600,661200,869700,961928,907400,982327,1129845,1082285,1275830,1270820,987574,1260878,1245527,1221073,1244291,1234886,1286456,1336362,747200
Switzerland,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,600,600,550,500,450,434,642,800,226,183,317,231,235,306,409,364,49,121,110,89,166,203,129,150,186,204,160,224
Syrian Arab Republic,Peaches and nectarines,Production (tonnes),1673,6785,3979,4400,4500,4945,6291,5946,5309,4797,6318,10531,8315,7960,16858,17662,18611,20594,20704,23364,18645,28379,30300,28800,36176,38600,33800,50500,58500,65600,60800,68455,37000,36126,21300,42620,23517,43100,41595,42034,37635,35325,35000,27400,51600,56084,57393,56400,62628,48788,54361,59095
Tajikistan,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000,18700,18500,18600,15800,14100,12200,12000,9300,19000,20000,12000,12600,17000,18000,13700,22700,19000,20000,23000,27500
The former Yugoslav Republic of Macedonia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8386,5293,5405,4333,7343,3545,6823,9003,9512,4600,6300,7275,11602,11041,10532,10461,11252,10266,10211,9039,8987
Tunisia,Peaches and nectarines,Production (tonnes),9500,8700,8300,5300,6200,3700,5500,7100,5600,5550,10200,6450,6800,7300,8800,12500,15400,17000,19500,20000,26000,21000,24000,27000,25100,35600,26700,26000,31000,35000,40000,56000,59000,66000,48000,55000,60000,65000,70000,73000,75000,82000,92000,100000,105000,110000,101000,110000,118000,117000,120000,128000
Turkey,Peaches and nectarines,Production (tonnes),98100,74210,63270,111000,66000,65000,103000,99000,66000,112000,84000,140000,120000,160000,200000,192000,185000,230000,220000,240000,265000,265000,270000,235000,200000,275000,235000,328000,317000,350000,350000,370000,370000,375000,340000,360000,355000,410000,400000,430000,460000,455000,470000,372000,510000,552775,539435,551906,547219,534903,545902,575730
Turkmenistan,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,5000,4000,3000,4000,5000,6000,7000,10000,10000,15000,18000,19000,23000,19000,28000,27000,29000,30000,33095,34500
Ukraine,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66015,48000,32000,24200,43700,28100,30900,12200,35200,19600,19650,32900,25900,32000,8500,14800,22700,19600,22100,33400,22900
United States of America,Peaches and nectarines,Production (tonnes),1758988,1684324,1657198,1634111,1636469,1599003,1266837,1676476,1731036,1419192,1371022,1154614,1253677,1429353,1388394,1485961,1481153,1337500,1494670,1570150,1421830,1198210,1009380,1372300,1164500,1202300,1253700,1367000,1268000,1223800,1418000,1426000,1385000,1358000,1198000,1179000,1429000,1292278,1394170,1412404,1341643,1422020,1341001,1429814,1301901,1132529,1279312,1304350,1200750,1254818,1176610,1058830
Uruguay,Peaches and nectarines,Production (tonnes),16359,16000,16000,16359,16000,15833,20000,25000,30000,37225,25000,30000,15000,40000,20000,18000,16000,14000,12000,10089,8500,7160,9670,10100,9500,3500,16800,22900,17500,29878,15000,17493,18602,26771,25000,30900,26822,23747,25117,30166,15382,7545,10635,14114,15871,17267,17607,18641,19070,22971,22567,24000
USSR,Peaches and nectarines,Production (tonnes),51000,54000,69000,76000,79000,123000,210000,258000,243000,332000,412000,305000,465000,443000,358000,504000,469000,360000,354000,410000,501000,420000,525000,405000,460000,545000,410000,475000,555000,488000,400000,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,75000,70000,67000,72000,56000,32500,29000,46400,48000,45500,45500,51000,56300,66538,68000,75000,82000,92000,101000,105000
Venezuela (Bolivarian Republic of),Peaches and nectarines,Production (tonnes),450,496,547,603,665,909,1046,1204,1375,1580,3380,3863,4427,5056,5889,6725,7279,7978,7232,7039,7274,7339,7405,7499,7909,8326,8384,8466,8932,9000,9441,9652,9113,9879,9299,9521,9796,15265,22217,20079,16099,20865,23173,14016,23214,30241,39868,38782,38000,40693,36466,40000
Yemen,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,2100,2200,1996,2092,2092,2183,2275,2572,2993,2115,4450,4293,4526,4714,5262,3865,3928,2526,1911,1933,1961,2096,3364,3682,3834,7000,11049,11277,12066,12512,12838,13489,15169,16500
Yugoslav SFR,Peaches and nectarines,Production (tonnes),36700,35400,31200,40000,31100,46700,54200,48500,58072,56671,61588,68127,68414,69207,63045,83177,72138,63132,66193,91978,89074,96673,101609,92560,79348,89532,77917,77037,91233,85169,86629,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Peaches and nectarines,Production (tonnes),,,,,,,,,200,250,300,400,500,600,700,800,850,926,1293,876,1466,1300,1175,1004,871,772,841,774,906,1186,957,700,800,850,750,800,857,750,800,750,800,891,835,888,837,912,840,929,997,1009,992,1000
